Vd_V,Id_A_per_um,device
0.0,0.0,LVT (Vth 0.4 V)
0.05,4.025e-06,LVT (Vth 0.4 V)
0.1,7.699999999999999e-06,LVT (Vth 0.4 V)
0.15000000000000002,1.1024999999999999e-05,LVT (Vth 0.4 V)
0.2,1.4e-05,LVT (Vth 0.4 V)
0.25,1.6624999999999998e-05,LVT (Vth 0.4 V)
0.30000000000000004,1.89e-05,LVT (Vth 0.4 V)
0.35000000000000003,2.0824999999999995e-05,LVT (Vth 0.4 V)
0.4,2.24e-05,LVT (Vth 0.4 V)
0.45,2.3624999999999998e-05,LVT (Vth 0.4 V)
0.5,2.4499999999999996e-05,LVT (Vth 0.4 V)
0.55,2.5024999999999995e-05,LVT (Vth 0.4 V)
0.6000000000000001,2.52e-05,LVT (Vth 0.4 V)
0.65,2.52e-05,LVT (Vth 0.4 V)
0.7000000000000001,2.52e-05,LVT (Vth 0.4 V)
0.75,2.52e-05,LVT (Vth 0.4 V)
0.8,2.52e-05,LVT (Vth 0.4 V)
0.8500000000000001,2.52e-05,LVT (Vth 0.4 V)
0.9,2.52e-05,LVT (Vth 0.4 V)
0.9500000000000001,2.52e-05,LVT (Vth 0.4 V)
1.0,2.52e-05,LVT (Vth 0.4 V)
1.05,2.52e-05,LVT (Vth 0.4 V)
1.1,2.52e-05,LVT (Vth 0.4 V)
1.1500000000000001,2.52e-05,LVT (Vth 0.4 V)
1.2000000000000002,2.52e-05,LVT (Vth 0.4 V)
1.25,2.52e-05,LVT (Vth 0.4 V)
1.3,2.52e-05,LVT (Vth 0.4 V)
1.35,2.52e-05,LVT (Vth 0.4 V)
1.4000000000000001,2.52e-05,LVT (Vth 0.4 V)
1.4500000000000002,2.52e-05,LVT (Vth 0.4 V)
1.5,2.52e-05,LVT (Vth 0.4 V)
1.55,2.52e-05,LVT (Vth 0.4 V)
1.6,2.52e-05,LVT (Vth 0.4 V)
1.6500000000000001,2.52e-05,LVT (Vth 0.4 V)
1.7000000000000002,2.52e-05,LVT (Vth 0.4 V)
1.75,2.52e-05,LVT (Vth 0.4 V)
1.8,2.52e-05,LVT (Vth 0.4 V)
1.85,2.52e-05,LVT (Vth 0.4 V)
1.9000000000000001,2.52e-05,LVT (Vth 0.4 V)
1.9500000000000002,2.52e-05,LVT (Vth 0.4 V)
2.0,2.52e-05,LVT (Vth 0.4 V)
0.0,0.0,RVT (Vth 0.6 V)
0.05,2.625e-06,RVT (Vth 0.6 V)
0.1,4.9000000000000005e-06,RVT (Vth 0.6 V)
0.15000000000000002,6.825e-06,RVT (Vth 0.6 V)
0.2,8.400000000000001e-06,RVT (Vth 0.6 V)
0.25,9.625e-06,RVT (Vth 0.6 V)
0.30000000000000004,1.0500000000000001e-05,RVT (Vth 0.6 V)
0.35000000000000003,1.1025e-05,RVT (Vth 0.6 V)
0.4,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.45,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.5,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.55,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.6000000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.65,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.7000000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.75,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.8,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.8500000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.9,1.1200000000000001e-05,RVT (Vth 0.6 V)
0.9500000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.0,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.05,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.1,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.1500000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.2000000000000002,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.25,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.3,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.35,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.4000000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.4500000000000002,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.5,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.55,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.6,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.6500000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.7000000000000002,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.75,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.8,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.85,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.9000000000000001,1.1200000000000001e-05,RVT (Vth 0.6 V)
1.9500000000000002,1.1200000000000001e-05,RVT (Vth 0.6 V)
