Vg_V,Id_A_per_um,model
0.0,0.0,Simple model
0.1,0.0,Simple model
0.2,0.0,Simple model
0.3,0.0,Simple model
0.4,0.0,Simple model
0.5,0.0,Simple model
0.6,0.0,Simple model
0.7,5.249999999999998e-07,Simple model
0.8,1.2250000000000006e-06,Simple model
0.9,1.925e-06,Simple model
1.0,2.625e-06,Simple model
1.1,3.3250000000000004e-06,Simple model
1.2,4.025e-06,Simple model
1.3,4.725e-06,Simple model
1.4,5.425e-06,Simple model
1.5,6.125e-06,Simple model
1.6,6.825e-06,Simple model
1.7,7.525e-06,Simple model
1.8,8.225000000000002e-06,Simple model
1.9,8.924999999999998e-06,Simple model
2.0,9.625e-06,Simple model
0.0,1.1984953060521293e-15,DEVSIM
0.1,3.0903866930215866e-14,DEVSIM
0.2,8.275029556747046e-13,DEVSIM
0.3,2.3340566467648405e-11,DEVSIM
0.4,6.762594798853311e-10,DEVSIM
0.5,1.803072063353936e-08,DEVSIM
0.6,2.0732312771928798e-07,DEVSIM
0.7,6.700317320095651e-07,DEVSIM
0.8,1.24482494936845e-06,DEVSIM
0.9,1.86227174168906e-06,DEVSIM
1.0,2.5008782889677856e-06,DEVSIM
1.1,3.1514970994191004e-06,DEVSIM
1.2,3.8093259151971657e-06,DEVSIM
1.3,4.471523435983289e-06,DEVSIM
1.4,5.1362793206459835e-06,DEVSIM
1.5,5.802380279658506e-06,DEVSIM
1.6,6.468982341519735e-06,DEVSIM
1.7,7.135481301404345e-06,DEVSIM
1.8,7.801434580536723e-06,DEVSIM
1.9,8.466511928456738e-06,DEVSIM
2.0,9.130463179658052e-06,DEVSIM
