Vg_V,Id_A_per_um,device
0.0,1.7185289597470375e-14,Lg 0.5 um
0.1,3.8732930704059845e-13,Lg 0.5 um
0.2,9.162993240050203e-12,Lg 0.5 um
0.3,2.2207592597697275e-10,Lg 0.5 um
0.4,5.313869579406194e-09,Lg 0.5 um
0.5,1.0045607694884432e-07,Lg 0.5 um
0.6,6.85744992894891e-07,Lg 0.5 um
0.7,1.743582274281117e-06,Lg 0.5 um
0.8,2.9686470896215408e-06,Lg 0.5 um
0.9,4.258602665783712e-06,Lg 0.5 um
1.0,5.579271991600245e-06,Lg 0.5 um
1.1,6.9151334061255095e-06,Lg 0.5 um
1.2,8.25774086960055e-06,Lg 0.5 um
1.3,9.602022193525479e-06,Lg 0.5 um
1.4,1.094474716784347e-05,Lg 0.5 um
1.5,1.2283778685794885e-05,Lg 0.5 um
1.6,1.3617665766067175e-05,Lg 0.5 um
1.7,1.4945406158754089e-05,Lg 0.5 um
1.8,1.6266300634533892e-05,Lg 0.5 um
1.9,1.757985996923679e-05,Lg 0.5 um
2.0,1.888574365564887e-05,Lg 0.5 um
0.0,1.1984953281856794e-15,Lg 1.0 um
0.1,3.0903866735544174e-14,Lg 1.0 um
0.2,8.275029564533915e-13,Lg 1.0 um
0.3,2.3340566466886284e-11,Lg 1.0 um
0.4,6.762594798845358e-10,Lg 1.0 um
0.5,1.803072063353883e-08,Lg 1.0 um
0.6,2.0732312771928057e-07,Lg 1.0 um
0.7,6.700317320095715e-07,Lg 1.0 um
0.8,1.2448249493684544e-06,Lg 1.0 um
0.9,1.86227174168906e-06,Lg 1.0 um
1.0,2.5008782889677814e-06,Lg 1.0 um
1.1,3.1514970994190962e-06,Lg 1.0 um
1.2,3.8093259151971657e-06,Lg 1.0 um
1.3,4.471523435983289e-06,Lg 1.0 um
1.4,5.1362793206459835e-06,Lg 1.0 um
1.5,5.802380279658506e-06,Lg 1.0 um
1.6,6.468982341519718e-06,Lg 1.0 um
1.7,7.135481301404345e-06,Lg 1.0 um
1.8,7.801434580536696e-06,Lg 1.0 um
1.9,8.466511928456738e-06,Lg 1.0 um
2.0,9.130463179658052e-06,Lg 1.0 um
0.0,2.9997944664231117e-16,Lg 2.0 um
0.1,9.874019046385662e-15,Lg 2.0 um
0.2,2.6492830694922444e-13,Lg 2.0 um
0.3,7.547303527494967e-12,Lg 2.0 um
0.4,2.2365597331342584e-10,Lg 2.0 um
0.5,6.33167577105674e-09,Lg 2.0 um
0.6,8.409928112805795e-08,Lg 2.0 um
0.7,2.9791231518759623e-07,Lg 2.0 um
0.8,5.741641911611211e-07,Lg 2.0 um
0.9,8.747823591177107e-07,Lg 2.0 um
1.0,1.187729858927091e-06,Lg 2.0 um
1.1,1.5079452894663053e-06,Lg 2.0 um
1.2,1.83280778358585e-06,Lg 2.0 um
1.3,2.160781512661569e-06,Lg 2.0 um
1.4,2.4908926207420064e-06,Lg 2.0 um
1.5,2.8224887309724028e-06,Lg 2.0 um
1.6,3.1551145198322153e-06,Lg 2.0 um
1.7,3.488441781893868e-06,Lg 2.0 um
1.8,3.822227658793654e-06,Lg 2.0 um
1.9,4.156288483542819e-06,Lg 2.0 um
2.0,4.490482768119953e-06,Lg 2.0 um
