Vg_V,Cgg_F_per_um
-1.0,2.973396206901154e-15
-0.9,2.9207187234543135e-15
-0.8,2.7947437989802453e-15
-0.7,2.6149910613754142e-15
-0.6,2.3477987689744483e-15
-0.5,1.9551697530559476e-15
-0.4,1.4595825287299654e-15
-0.3,1.012618717775494e-15
-0.2,7.458546625240839e-16
-0.1,6.248244814582847e-16
0.0,5.675779013200827e-16
0.1,5.377294886795747e-16
0.2,5.262319490339759e-16
0.3,5.391962620432887e-16
0.4,6.461501477723298e-16
0.5,1.143244780177581e-15
0.6,1.971301030585995e-15
0.7,2.57860233969617e-15
0.8,2.8503884300428805e-15
0.9,2.9896263962616204e-15
1.0,3.0740103820909385e-15
1.1,3.130345342614207e-15
1.2,3.170331295463271e-15
1.3,3.199971417116556e-15
1.4,3.2226817944828644e-15
1.5,3.24054874357068e-15
1.6,3.25491442945082e-15
1.7,3.266678034054186e-15
1.8,3.276462196397059e-15
1.9,3.2847101799369815e-15
2.0,3.288496603941526e-15
