Vg_V,Id_A_per_um
0.0,1.1984953288328593e-15
0.1,3.0903866929180376e-14
0.2,8.275029567764636e-13
0.3,2.3340566467648405e-11
0.4,6.76259479881885e-10
0.5,1.8030720633543072e-08
0.6,2.073231277192869e-07
0.7,6.700317320095673e-07
0.8,1.24482494936845e-06
0.9,1.8622717416890514e-06
1.0,2.5008782889677856e-06
1.1,3.1514970994191047e-06
1.2,3.8093259151971657e-06
1.3,4.471523435983289e-06
1.4,5.1362793206459835e-06
1.5,5.802380279658506e-06
1.6,6.468982341519735e-06
1.7,7.135481301404345e-06
1.8,7.801434580536723e-06
1.9,8.466511928456738e-06
2.0,9.130463179658052e-06
